documento_id,nombre,apellidos,fecha_nacimiento,estado_civil,provincia,correo_electronico,telefono,tipo_empleado,salario,ingresos_mensuales,pension,empleador,puesto,antiguedadLaboral,ingresos,deudas,nivel_Endeudamiento
123456789,as,as,1985-01-01,Casado/a,limon,a@a.com,12345678,Asalariado,3000.0,,,as,rg,Mayor a 12 meses,2816.6666666666665,1350.0,0.47928994082840237
147258369,tg,gt,1985-01-01,Casado/a,limon,b@b.com,87654321,Independiente,,3000.0,,,,,2616.6666666666665,1350.0,0.5159235668789809
258369147,ty,ty,1978-01-01,Viudo/a,limon,a@b.com,98653214,Pensionado,,,3000.0,,,,,1400.0,0.4666666666666667
654987321,yhjj,fsdfsf,1986-01-01,Soltero/a,limon,a@sdfsdf.gmial.co,95135746,Asalariado,3000.0,,,asdasd,adsrrthgh,Mayor a 12 meses,2783.3333333333335,1420.0,0.5101796407185628
304020444,JOSE,Roldan,1999-02-26,Soltero/a,San Jose,qweweqw@gmail.com,12345678,Asalariado,1600.0,,,CR,CR,Mayor a 12 meses,2333.3333333333335,0,0.0
304020660,Francisco,Arias,1999-01-01,Soltero/a,Heredia,dass@gmail.com,12345678,Asalariado,1500.0,,,SJ,SJ,3 - 6 meses,1800.0,0,0.0
304030778,Gonzalez,Alvaro,1951-12-24,Casado/a,San Jose,eqeqw@gmail.com,12345678,Asalariado,2000.0,,,abc,abc,Mayor a 12 meses,2000.0,300.0,0.15
304020670,Luis,Alvarez,1986-12-12,Soltero/a,Limon,dadas@gmail.com,12345678,Asalariado,2000.0,,,cr,cr,Mayor a 12 meses,2000.0,300.0,0.15
304470468,juan,magan,1990-07-23,Soltero/a,cartago,jo@gmail.com,71074883,Independiente,,1800.0,,,,,1800.0,0,0.0
304400468,juan,moya ,1980-02-06,Soltero/a,cartago,john@gmial.com,71074483,Pensionado,,,2000.0,,,,,500.0,0.25
